index,class_representation,visual_fidelity,structural_integrity,diversity,beneficial_variations,explanation,filename,class_name,real_filename
1,0.3,0.2,0.2,0.5,0.4,"The image is highly distorted and unclear, making it difficult to distinguish the airplane. The structure is compromised, but there is some diversity in the background and context.",aug-0-0.png,airplane,2007_009348.jpg
2,0.4,0.3,0.4,0.6,0.5,"The image shows multiple airplanes but is blurry and has visual artifacts. The structure is somewhat maintained, and there is diversity in the scene.",aug-0-1.png,airplane,2007_009348.jpg
3,0.5,0.4,0.5,0.6,0.5,"The image is clearer than the previous ones but still has some distortion. The structure of the airplane is more recognizable, and there is diversity in the scene.",aug-0-2.png,airplane,2007_009348.jpg
4,0.6,0.5,0.6,0.7,0.6,"The image is clearer and the airplane is more distinguishable. The structure is better maintained, and there is good diversity in the scene.",aug-0-3.png,airplane,2007_009348.jpg
5,0.7,0.6,0.7,0.8,0.7,"The image is clear and the airplane is distinguishable. The structure is well maintained, and there is good diversity in the scene.",aug-0-4.png,airplane,2007_009348.jpg
6,0.8,0.7,0.8,0.8,0.8,"The image is clear and the airplane is highly distinguishable. The structure is well maintained, and there is good diversity in the scene.",aug-0-5.png,airplane,2007_009348.jpg
7,0.7,0.6,0.7,0.7,0.7,"The image is clear and the airplane is distinguishable. The structure is well maintained, and there is good diversity in the scene.",aug-0-6.png,airplane,2007_009348.jpg
8,0.8,0.7,0.8,0.8,0.8,"The image is clear and the airplane is highly distinguishable. The structure is well maintained, and there is good diversity in the scene.",aug-0-7.png,airplane,2007_009348.jpg
9,0.9,0.8,0.9,0.9,0.9,"The image is very clear and the airplane is highly distinguishable. The structure is well maintained, and there is excellent diversity in the scene.",aug-0-8.png,airplane,2007_009348.jpg
10,0.9,0.8,0.9,0.9,0.9,"The image is very clear and the airplane is highly distinguishable. The structure is well maintained, and there is excellent diversity in the scene.",aug-0-9.png,airplane,2007_009348.jpg
1,0.7,0.6,0.7,0.8,0.7,The image maintains the core features of a bicycle but introduces some elements that make it look more like a motorbike. The visual quality is decent but has some artifacts.,aug-1-0.png,bicycle,2008_005839.jpg
2,0.6,0.5,0.6,0.7,0.6,The image has a clear bicycle structure but includes additional elements that may confuse the classification. The visual quality is moderate with some distortions.,aug-1-1.png,bicycle,2008_005839.jpg
