index,class_representation,visual_fidelity,structural_integrity,diversity,beneficial_variations,explanation,filename,class_name,real_filename
1,1.0,0.9,1.0,0.3,0.4,"The image maintains the core features and structure of the airplane class. The visual fidelity is high, but there are minor artifacts. The diversity and beneficial variations are low as the image is very similar to the reference.",aug-2-0.png,airplane,2007_004459.jpg
2,1.0,0.9,1.0,0.4,0.5,"The image maintains the core features and structure of the airplane class. The visual fidelity is high, with minor artifacts. The diversity and beneficial variations are slightly higher than the previous image.",aug-2-1.png,airplane,2007_004459.jpg
3,0.6,0.5,0.6,0.7,0.6,"The image has significant distortions and artifacts, affecting visual fidelity and structural integrity. However, it introduces more diversity and beneficial variations.",aug-2-2.png,airplane,2007_004459.jpg
4,1.0,0.9,1.0,0.4,0.5,"The image maintains the core features and structure of the airplane class. The visual fidelity is high, with minor artifacts. The diversity and beneficial variations are slightly higher than the previous image.",aug-2-3.png,airplane,2007_004459.jpg
5,0.4,0.3,0.4,0.8,0.7,"The image is highly distorted with significant artifacts, affecting class representation, visual fidelity, and structural integrity. However, it introduces high diversity and beneficial variations.",aug-2-4.png,airplane,2007_004459.jpg
6,0.7,0.5,0.7,0.6,0.6,"The image has moderate distortions and artifacts, affecting visual fidelity and structural integrity. It introduces moderate diversity and beneficial variations.",aug-2-5.png,airplane,2007_004459.jpg
7,0.3,0.2,0.3,0.9,0.8,"The image is highly distorted with significant artifacts, affecting class representation, visual fidelity, and structural integrity. However, it introduces high diversity and beneficial variations.",aug-2-6.png,airplane,2007_004459.jpg
8,0.5,0.4,0.5,0.7,0.7,"The image has moderate distortions and artifacts, affecting visual fidelity and structural integrity. It introduces moderate diversity and beneficial variations.",aug-2-7.png,airplane,2007_004459.jpg
9,0.8,0.7,0.8,0.5,0.6,"The image maintains the core features and structure of the airplane class. The visual fidelity is moderate, with some artifacts. The diversity and beneficial variations are moderate.",aug-2-8.png,airplane,2007_004459.jpg
10,0.6,0.5,0.6,0.7,0.7,"The image has moderate distortions and artifacts, affecting visual fidelity and structural integrity. It introduces moderate diversity and beneficial variations.",aug-2-9.png,airplane,2007_004459.jpg
1,0.9,0.8,0.9,0.3,0.4,"The image maintains the core features of an airplane and is distinguishable. However, there are some visual artifacts and slight distortions.",aug-1-0.png,airplane,2007_004988.jpg
2,0.8,0.7,0.8,0.5,0.6,"The image is recognizable as an airplane but has noticeable artifacts and some structural distortions. The context is slightly different, adding some diversity.",aug-1-1.png,airplane,2007_004988.jpg
3,0.7,0.6,0.7,0.6,0.5,"The image has more artifacts and structural distortions, but it is still recognizable as an airplane. The context is different, providing diversity.",aug-1-2.png,airplane,2007_004988.jpg
4,0.9,0.8,0.9,0.4,0.5,The image is clear and maintains the core features of an airplane. There are minor artifacts and slight structural distortions.,aug-1-3.png,airplane,2007_004988.jpg
5,0.6,0.5,0.6,0.7,0.6,"The image is taken from a different angle, adding diversity. However, it has significant artifacts and structural distortions.",aug-1-4.png,airplane,2007_004988.jpg
6,0.5,0.4,0.5,0.8,0.7,"The image is taken from a top-down view, adding significant diversity. However, it has poor visual fidelity and structural integrity.",aug-1-5.png,airplane,2007_004988.jpg
7,0.4,0.3,0.4,0.9,0.8,"The image is taken from a different angle and context, adding diversity. However, it has poor visual fidelity and structural integrity.",aug-1-6.png,airplane,2007_004988.jpg
8,0.3,0.2,0.3,1.0,0.9,"The image shows two airplanes, adding maximum diversity. However, it has poor visual fidelity and structural integrity.",aug-1-7.png,airplane,2007_004988.jpg
9,0.9,0.8,0.9,0.4,0.5,The image is clear and maintains the core features of an airplane. There are minor artifacts and slight structural distortions.,aug-1-8.png,airplane,2007_004988.jpg
10,0.9,0.8,0.9,0.4,0.5,The image is clear and maintains the core features of an airplane. There are minor artifacts and slight structural distortions.,aug-1-9.png,airplane,2007_004988.jpg
1,0.5,0.3,0.4,0.7,0.6,"The image is highly distorted, making it difficult to distinguish the airplane. However, some key features are still somewhat recognizable.",aug-0-0.png,airplane,2007_009348.jpg
2,0.6,0.4,0.5,0.7,0.6,"The image shows multiple airplanes but is distorted. The core features are somewhat visible, but the quality is low.",aug-0-1.png,airplane,2007_009348.jpg
3,0.7,0.5,0.6,0.7,0.7,"The image is clearer than the previous ones, with multiple airplanes visible. However, there is still some distortion.",aug-0-2.png,airplane,2007_009348.jpg
4,0.8,0.6,0.7,0.8,0.8,"The airplane is more distinguishable, and the image quality is better. There is some beneficial variation in the scene.",aug-0-3.png,airplane,2007_009348.jpg
5,0.9,0.7,0.8,0.9,0.9,"The airplane is clearly visible, and the image quality is good. There is significant beneficial variation in pose and context.",aug-0-4.png,airplane,2007_009348.jpg
6,0.8,0.7,0.8,0.8,0.8,"The airplane is distinguishable, and the image quality is good. The variation in pose and context is beneficial.",aug-0-5.png,airplane,2007_009348.jpg
7,0.7,0.6,0.7,0.7,0.7,"The airplane is visible, but the image is somewhat distorted. There is some beneficial variation in the scene.",aug-0-6.png,airplane,2007_009348.jpg
8,0.8,0.7,0.8,0.8,0.8,"The airplane is distinguishable, and the image quality is good. The variation in pose and context is beneficial.",aug-0-7.png,airplane,2007_009348.jpg
9,0.9,0.8,0.9,0.9,0.9,"The airplane is clearly visible, and the image quality is high. There is significant beneficial variation in pose and context.",aug-0-8.png,airplane,2007_009348.jpg
10,0.9,0.8,0.9,0.9,0.9,"The airplane is clearly visible, and the image quality is high. There is significant beneficial variation in pose and context.",aug-0-9.png,airplane,2007_009348.jpg
1,0.8,0.6,0.7,0.9,0.8,The image maintains the core features of an airplane but has some visual artifacts and slight distortions. The diversity and beneficial variations are high due to the different angles and context.,aug-3-0.png,airplane,2009_002448.jpg
2,0.9,0.9,0.9,0.5,0.6,"This image closely resembles the reference image with high visual fidelity and structural integrity. However, it lacks significant diversity and beneficial variations.",aug-3-1.png,airplane,2009_002448.jpg
3,0.8,0.7,0.8,0.8,0.7,The image maintains the core features of an airplane but has some visual artifacts. The diversity and beneficial variations are good due to the different angles and context.,aug-3-2.png,airplane,2009_002448.jpg
4,0.7,0.6,0.7,0.9,0.8,The image maintains the core features of an airplane but has some visual artifacts and slight distortions. The diversity and beneficial variations are high due to the different angles and context.,aug-3-3.png,airplane,2009_002448.jpg
5,0.8,0.7,0.8,0.8,0.7,The image maintains the core features of an airplane but has some visual artifacts. The diversity and beneficial variations are good due to the different angles and context.,aug-3-4.png,airplane,2009_002448.jpg
6,0.9,0.8,0.9,0.7,0.8,The image maintains the core features of an airplane with high visual fidelity and structural integrity. The diversity and beneficial variations are good due to the different angles and context.,aug-3-5.png,airplane,2009_002448.jpg
7,0.8,0.7,0.8,0.8,0.7,The image maintains the core features of an airplane but has some visual artifacts. The diversity and beneficial variations are good due to the different angles and context.,aug-3-6.png,airplane,2009_002448.jpg
8,0.8,0.7,0.8,0.8,0.7,The image maintains the core features of an airplane but has some visual artifacts. The diversity and beneficial variations are good due to the different angles and context.,aug-3-7.png,airplane,2009_002448.jpg
9,0.8,0.7,0.8,0.8,0.7,The image maintains the core features of an airplane but has some visual artifacts. The diversity and beneficial variations are good due to the different angles and context.,aug-3-8.png,airplane,2009_002448.jpg
10,0.8,0.7,0.8,0.8,0.7,The image maintains the core features of an airplane but has some visual artifacts. The diversity and beneficial variations are good due to the different angles and context.,aug-3-9.png,airplane,2009_002448.jpg
1,0.9,0.8,0.9,0.7,0.8,"The image maintains the core features of a bicycle and is visually clear. The structure is mostly intact, with some minor variations in design. The context is appropriate, and the variations in color and design are beneficial.",aug-4-0.png,bicycle,2008_005839.jpg
2,0.9,0.8,0.9,0.7,0.8,"The image clearly represents a bicycle with good visual quality. The structure is well-maintained, and the design variations add beneficial diversity.",aug-4-1.png,bicycle,2008_005839.jpg
3,0.8,0.7,0.8,0.6,0.7,"The image represents a bicycle but with some design elements that slightly deviate from the typical structure. The visual quality is good, and the variations are beneficial.",aug-4-2.png,bicycle,2008_005839.jpg
4,0.9,0.8,0.9,0.7,0.8,"The image maintains the core features of a bicycle with good visual quality. The structure is intact, and the design variations add beneficial diversity.",aug-4-3.png,bicycle,2008_005839.jpg
5,0.8,0.7,0.8,0.6,0.7,"The image represents a bicycle but with some design elements that slightly deviate from the typical structure. The visual quality is good, and the variations are beneficial.",aug-4-4.png,bicycle,2008_005839.jpg
6,0.7,0.6,0.7,0.5,0.6,"The image represents a bicycle but with noticeable deviations in design and structure. The visual quality is moderate, and the variations are somewhat beneficial.",aug-4-5.png,bicycle,2008_005839.jpg
7,0.6,0.5,0.6,0.4,0.5,"The image has significant deviations from the typical bicycle structure and design. The visual quality is moderate, and the variations are less beneficial.",aug-4-6.png,bicycle,2008_005839.jpg
8,0.7,0.6,0.7,0.5,0.6,"The image represents a bicycle but with noticeable deviations in design and structure. The visual quality is moderate, and the variations are somewhat beneficial.",aug-4-7.png,bicycle,2008_005839.jpg
9,0.6,0.5,0.6,0.4,0.5,"The image has significant deviations from the typical bicycle structure and design. The visual quality is moderate, and the variations are less beneficial.",aug-4-8.png,bicycle,2008_005839.jpg
10,0.8,0.7,0.8,0.6,0.7,"The image represents a bicycle with some design variations. The visual quality is good, and the variations are beneficial.",aug-4-9.png,bicycle,2008_005839.jpg
1,1.0,0.9,1.0,0.2,0.3,"The image maintains the core features and structure of a bicycle and is visually clear. However, it is very similar to the reference image with minimal variations.",aug-7-0.png,bicycle,2009_000015.jpg
2,0.7,0.6,0.8,0.7,0.6,"The image depicts a bicycle but with a stylized and somewhat distorted appearance. The context is less natural, and the visual quality is lower.",aug-7-1.png,bicycle,2009_000015.jpg
3,0.9,0.8,0.9,0.8,0.7,"The image shows two bicycles with some variations in pose and context. The visual quality is good, but the additional bicycle adds complexity.",aug-7-2.png,bicycle,2009_000015.jpg
4,0.5,0.5,0.6,0.8,0.7,The image has a bicycle-like object but with significant distortions and a less natural context. The visual quality is moderate.,aug-7-3.png,bicycle,2009_000015.jpg
5,0.4,0.4,0.5,0.9,0.8,"The image shows a highly stylized and distorted bicycle-like object. The context is less relevant, and the visual quality is lower.",aug-7-4.png,bicycle,2009_000015.jpg
6,0.6,0.5,0.7,0.8,0.7,"The image depicts a bicycle with significant stylization and some structural distortions. The context is less natural, and the visual quality is moderate.",aug-7-5.png,bicycle,2009_000015.jpg
7,0.5,0.4,0.6,0.8,0.7,"The image shows a bicycle-like object with significant stylization and distortions. The context is less relevant, and the visual quality is lower.",aug-7-6.png,bicycle,2009_000015.jpg
8,0.6,0.5,0.7,0.8,0.7,"The image depicts a bicycle with significant stylization and some structural distortions. The context is less natural, and the visual quality is moderate.",aug-7-7.png,bicycle,2009_000015.jpg
9,0.5,0.4,0.6,0.8,0.7,"The image shows a bicycle-like object with significant stylization and distortions. The context is less relevant, and the visual quality is lower.",aug-7-8.png,bicycle,2009_000015.jpg
10,0.5,0.4,0.6,0.8,0.7,"The image shows a bicycle-like object with significant stylization and distortions. The context is less relevant, and the visual quality is lower.",aug-7-9.png,bicycle,2009_000015.jpg
