index,quality,realism,relevance,detail_preservation,explanation,filename,class_name,overall_score,real_filename
8,0.95,0.95,0.95,0.95,Almost identical to the reference image.,aug-6-7.png,car,0.95,2008_002473.jpg
8,0.9,0.9,1.0,0.9,"Almost identical to the reference, with minute differences in sharpness and clarity.",aug-2-7.png,bird,0.9249999999999999,2010_000075.jpg
10,0.9,0.9,1.0,0.9,"Closely resembles the reference image in quality, setting, and details.",aug-3-9.png,boat,0.9249999999999999,2008_006065.jpg
9,0.9,0.9,1.0,0.9,"Closely resembles the reference image in quality, setting, and details.",aug-3-8.png,boat,0.9249999999999999,2008_006065.jpg
8,0.9,0.9,1.0,0.9,"Closely resembles the reference image in quality, setting, and details.",aug-3-7.png,boat,0.9249999999999999,2008_006065.jpg
6,0.9,0.9,1.0,0.9,"Closely resembles the reference image in quality, setting, and details.",aug-3-5.png,boat,0.9249999999999999,2008_006065.jpg
4,0.9,0.9,1.0,0.9,"Closely resembles the reference image in quality, setting, and details.",aug-3-3.png,boat,0.9249999999999999,2008_006065.jpg
2,0.9,0.9,1.0,0.9,"Closely resembles the reference image in quality, setting, and details.",aug-3-1.png,boat,0.9249999999999999,2008_006065.jpg
1,0.9,0.9,1.0,0.9,The image is nearly identical to the reference with minor differences in color and sharpness.,aug-2-0.png,bird,0.9249999999999999,2010_000075.jpg
2,0.9,0.9,0.9,0.9,Very similar to the original with slight visual differences.,aug-15-1.png,potted plant,0.9,2010_000567.jpg
1,0.9,0.8,0.9,0.9,Good image quality and realism with minor background changes.,aug-10-0.png,dining table,0.875,2008_002960.jpg
3,0.9,0.8,0.9,0.9,"Highly similar to real image, good realism and bus features well preserved.",aug-5-2.png,bus,0.875,2008_003373.jpg
7,0.9,0.8,0.9,0.9,"Excellent quality and detail retention, though the design is reinforced with motorbike features.",aug-1-6.png,bicycle,0.875,2008_005839.jpg
8,0.9,0.8,0.9,0.9,"Excellent quality and detail, more bike-like even with some variations.",aug-1-7.png,bicycle,0.875,2008_005839.jpg
6,0.9,0.8,0.9,0.9,"High quality and realism with significant detail preservation, but notably different design.",aug-1-5.png,bicycle,0.875,2008_005839.jpg
4,0.8,0.8,1.0,0.8,"Similar to the first and second image, but slightly different coloration and sharpness.",aug-2-3.png,bird,0.8500000000000001,2010_000075.jpg
2,0.8,0.8,1.0,0.8,"Slightly less sharp and vibrant compared to the reference, yet still highly relevant.",aug-2-1.png,bird,0.8500000000000001,2010_000075.jpg
7,0.8,0.8,1.0,0.8,Similar to the reference but with some minor variations.,aug-3-6.png,boat,0.8500000000000001,2008_006065.jpg
2,0.9,0.9,0.7,0.9,"High visual fidelity and realism, but different car model.",aug-6-1.png,car,0.85,2008_002473.jpg
5,0.9,0.9,0.7,0.9,"High visual fidelity and realism, different car model.",aug-6-4.png,car,0.85,2008_002473.jpg
9,0.9,0.9,0.7,0.9,"High visual fidelity and realism, different car model.",aug-6-8.png,car,0.85,2008_002473.jpg
10,0.9,0.9,0.7,0.9,"High visual fidelity and realism, different car model.",aug-6-9.png,car,0.85,2008_002473.jpg
1,0.9,0.9,0.7,0.9,"High visual fidelity and realism, but different car model.",aug-6-0.png,car,0.85,2008_002473.jpg
4,0.8,0.8,0.9,0.9,"Good quality with high realism, relevance, and excellent detail preservation of television-like features.",aug-19-3.png,television,0.85,2007_000121.jpg
